,Ano de Registo,Combustível,Condição,ID,Marca,Origem,Potência,Quilómetros,Segmento,Série,Tipo de Caixa
43,2011,Diesel,Usados,8067586295,Audi,Nacional,177,132000,Carrinha,,Automática
44,2014,Diesel,Usados,8066561671,Nissan,,109,103482,SUV / TT,,Manual
45,2013,Diesel,Usados,8064223563,Peugeot,Nacional,115,100650,SUV / TT,,Manual
46,2018,Diesel,Usados,8023993446,Fiat,Nacional,95,39000,SUV / TT,,Manual
47,2016,Diesel,Usados,8072375036,Nissan,,110,57492,SUV / TT,,Manual
48,2014,Diesel,Usados,8075745751,Mercedes-Benz,Nacional,170,85547,SUV / TT,Classe GLK,Automática
49,2018,Diesel,Usados,8073448596,Peugeot,Nacional,100,113978,Carrinha,,Manual
50,2015,Diesel,Usados,8074633256,VW,Nacional,120,140355,Carrinha,,Manual
51,2016,Diesel,Usados,8067742595,Mercedes-Benz,,194,117042,Carrinha,Classe C,Automática
52,2015,Diesel,Usados,8070045833,Mercedes-Benz,,136,138000,Carrinha,Classe C,Automática
53,2016,Diesel,Usados,8071908642,SEAT,,110,124708,Carrinha,,Manual
54,2018,Gasolina,Usados,8047959580,Fiat,Nacional,69,20000,Cabrio,,Automática
55,2017,Gasolina,Usados,8071241004,Renault,Nacional,90,29785,Citadino,,Manual
56,2015,Diesel,Usados,8058599803,Citroën,,115,78600,Utilitário,,Manual
57,2015,Diesel,Usados,8072326365,Mercedes-Benz,,109,55022,Carrinha,Classe CLA,Manual
58,2015,Diesel,Usados,8064029427,VW,Nacional,150,62596,Carrinha,,Manual
59,2017,Híbrido (Gasolina),Usados,8071802186,Porsche,Nacional,416,37865,SUV / TT,,Automática
60,2017,Gasolina,Usados,8036286396,Hyundai,,75,33247,Citadino,,Manual
61,2019,Gasolina,Usados,8040409968,Fiat,Nacional,69,10000,Cabrio,,Manual
62,2017,Diesel,Usados,8065802089,Peugeot,,120,78000,Carrinha,,Manual
63,2017,Diesel,Usados,8071918118,SEAT,,110,122935,Carrinha,,Manual
64,2017,Gasolina,Usados,8074529393,Renault,Nacional,90,25000,Carrinha,,Manual
65,2017,Gasolina,Usados,8073617781,Renault,Nacional,90,25534,SUV / TT,,Manual
66,2010,Gasolina,Usados,8074059511,Fiat,,70,92000,Pequeno citadino,,Unknown
67,2019,Gasolina,Usados,8071207369,Mitsubishi,Nacional,80,19518,Citadino,,Manual
68,2018,Gasolina,Usados,8072647260,Smart,Nacional,90,14200,Citadino,,Automática
69,2019,Gasolina,Usados,8068839744,Mitsubishi,Nacional,105,21833,SUV / TT,,Manual
70,2019,Gasolina,Usados,8004168820,Fiat,Nacional,69,10000,Pequeno citadino,,Manual
71,2015,Diesel,Usados,8070668883,Toyota,Nacional,144,56321,SUV / TT,,Manual
72,2018,Diesel,Usados,8074524542,Audi,,150,10996,Sedan,,Manual
73,2019,Gasolina,Usados,8069250956,Fiat,Nacional,69,9200,Pequeno citadino,,Manual
74,2015,Diesel,Usados,8074499242,Audi,,190,75659,Sedan,,Manual
75,2015,Diesel,Usados,8073763607,BMW,,190,40783,Carrinha,Série 5,Automática
76,2019,Diesel,Usados,8055734419,BMW,,190,14442,SUV / TT,Série X,Automática
77,2017,Diesel,Usados,8026572390,Fiat,,95,30000,Monovolume,,Manual
78,2004,Diesel,Usados,8074607512,Mercedes-Benz,Nacional,170,300000,Coupé,Classe CLK,Automática
79,2015,Diesel,Usados,8070343859,Ford,,120,139643,Utilitário,,Manual
80,2017,Diesel,Usados,8073975023,Mazda,Nacional,105,40125,SUV / TT,,Manual
81,2018,Diesel,Usados,8073430944,Fiat,Nacional,95,40000,Monovolume,,Manual
82,2018,Gasolina,Usados,8073878400,Peugeot,,130,31745,SUV / TT,,Automática
83,2018,Diesel,Usados,8074497331,Citroën,,102,22786,Utilitário,,Manual
84,2011,Diesel,Usados,8073536066,Fiat,Nacional,95,87921,Pequeno citadino,,Manual
85,2006,Diesel,Usados,8064522191,Peugeot,Nacional,109,198789,Carrinha,,Manual
86,2011,Diesel,Usados,8075683301,BMW,Nacional,313,159791,Sedan,Série 5,Automática
87,2011,Diesel,Usados,8075680143,Mercedes-Benz,,110,181200,Utilitário,,Unknown
88,2018,Diesel,Usados,8074502537,Audi,,286,16955,Sedan,,Automática
89,2016,Diesel,Usados,8075745332,BMW,Nacional,218,60400,Carrinha,Série 5,Automática
90,2016,Diesel,Usados,8072649208,Peugeot,Nacional,75,34300,SUV / TT,,Unknown
91,2018,Gasolina,Usados,8004169450,Fiat,Nacional,69,34000,Pequeno citadino,,Manual
